Title,Author,Genre,Year,Publisher,Summary
Кодекс Вещих Сестер [litres],Евгений Фронтикович Гаглоев,Фэнтези,2018,Литагент Росмэн,"С тех пор как открылась академия «Пандемониум», жители Клыково потеряли покой. Странные происшествия и жуткие убийства следуют в городе одно за другим. Никто не может объяснить очередную загадочную гибель одного из учеников академии. Полиция сбилась с ног, обитатели «Пандемониума» в отчаянии и ужасе – разгневанный дух жертвы начинает преследовать других воспитанников. Но для того чтобы вызвать духа из небытия, нужны особые способности и недюжинная сила. Кто же охотится на учеников академии? Кто обдает их ледяным дыханием и окатывает кипятком? И куда пропадают из библиотеки «Пандемониума» книги, посвященные некромантии?"
Букет увядших орхидей,Евгений Фронтикович Гаглоев,Детская фантастика,2018,Литагент Росмэн,"Новое загадочное преступление в окрестностях Клыково ставит в тупик самых опытных следователей. Что за великан забросил автомобиль жертвы на верхушку сосны? Как попал на место преступления букетик редких экзотических цветов? И есть ли связь между этим происшествием и появлением в городе странного монстра из вершков и корешков? Пока полицейские чешут в затылке, вездесущие друзья Тимофея Зверева – ученики академии «Пандемониум» – проводят собственное расследование и, конечно, найдут приключений на свою голову. Самого же Тимофея ожидают находки совсем другого рода…"
Маленькие женщины,Луиза Мэй Олкотт,literature_19,2014,Array Литагент «Эксмо»,Знаменитая повесть Луизы Мэй Олкотт «Маленькие женщины» стала классикой мировой детской литературы. Увлекательная история о детстве четырех сестер завоевала сердца не одного поколения читателей.
Болотница,Татьяна Мастрюкова,Ужасы и Мистика,2018,Литагент Selfpub.ru (неискл),"Когда тебе 12 лет, родители решают, где жить, в какую школу ходить, куда поехать на каникулы. Вот и в этот раз папа отправил нас с мамой в деревню. Да не в какую-нибудь модную, европейскую. А в самую настоящую, русскую, глухую. Три дома, одни старики. В ней даже интернета нет! Приключение началось с заброшенного колодца у нас во дворе. А дальше… я оказалась в каком-то страшном кино: охотники за нечистью, призрак рыжей собаки, Дрёма, Анцыбал и – что уж совсем никуда не годится – Болотница!"
Герои забытых легенд [litres],Евгений Фронтикович Гаглоев,Фэнтези,2020,Росмэн,"Какое счастье вновь оказаться в своем мире, среди друзей и родных! Тимофею удалось сбежать из школы Темных, Лиза вышла из комы и рада ему, ожившие древние Спящие обещают встать рядом с Первородными в будущей битве со Злом. Но не стоит забывать о том, что сих пор не нашли Ирину Звереву, восстала ото сна Великая Мать Змей, Анфиса и Олег Дубровский уже обдумывают свои мрачные планы, да и Корф не дремлет – он не простит Тимофею побега. А ведь есть еще Кадиша де Лафуэнте, которая ведет свою игру, и пусть боится всякий, кто перейдет ей дорогу. В эту трудную минуту на помощь юным Первородным придут старые друзья, которые, как казалось Тимофею, остались в совсем другой жизни."
Галерея кукол и костей [litres],Евгений Фронтикович Гаглоев,Фэнтези,2021,Литагент Росмэн,"Город окутан багровой мглой – предшественницей багровой ночи. Темные Спящие окружают Клыково, проникают в дома, нападают на жителей. Огненные волки почти в открытую пытаются похитить Женю Степанову, Свежеватель вновь на воле, смертельная опасность нависла над Тимофеем и Климом Поликутиным, и даже сам шериф Мезенцев едва не тонет в болоте на собственной кухне. Обостряются чувства, сбрасываются маски, друзья и любимые оказываются по разные стороны баррикад. Повсюду предательство, и даже от близких людей можно ждать самых неожиданных, но далеко не самых приятных сюрпризов. Верховная Мать Змей уже собрала вокруг себя целую армию, и кажется, что победа за злом, но, невзирая ни на что, ученики и учителя академии «Пандемониум» упорно готовятся к битве."
Силуэт в разбитом зеркале [litres],Евгений Фронтикович Гаглоев,Фэнтези,2019,Литагент Росмэн,"С тех пор как в клыковском музее появился призрак, сотрудники потеряли покой. По ночам в залах сам собой зажигается свет, слышится пение, бьются вдребезги витрины и зеркала. Призрак не идет на контакт и ненавидит всех вокруг. Тимофей боится за Лизу, которая работает в музее, и, кажется, его тревоги не напрасны. Но опасность нависла не только над Лизой. Подруге Тимофея Серафиме Долмацкой угрожает кошмарный Мастер Игрушек, а Алису Василисину шантажирует юная ведьма Даша Киселева. Да и сам Тимофей все больше запутывается в своих родственных связях с темными Первородными. Что скажут друзья, если он откроет им свою тайну?"
Опасная тропа,Эрин Хантер,Сказка,2003,Олма-Пресс,"Новая страшная опасность пришла в лес, едва успевший оправиться после пожара. Стая свирепых бродячих псов убегает от собаколовов и находит тайное прибежище на территории Грозового племени. Звездные предки посылают пророчество о притаившемся в лесу зле, но никто из Грозовых котов не может правильно истолковать его. Огнегрив спасает свое племя и изгоняет собак, но Синяя Звезда погибает в битве со сворой."
Восход багровой ночи [litres],Евгений Фронтикович Гаглоев,Фэнтези,2020,Литагент Росмэн,"Оказавшись в школе для Темных, где царят страх, недоверие и ненависть, Тимофей Зверев быстро понимает, что это место – не для него. А в Клыково тем временем сгущаются тучи. Просыпаются Спящие и пытаются вновь занять место в этом мире. Городок сотрясают все новые убийства, Женя по-прежнему в коме, а яхта, на которой находились Ирина и Лиза, взлетела на воздух. Кто стоит за всеми этими убийствами? Друзья Тимофея, как всегда, пытаются вести собственное расследование параллельно с полицией. Им очень не хватает Зверева, и он это чувствует. Тимофей отчаянно рвется обратно в свой мир, но сбежать из школы Темных не так-то просто. Похоже, без хитрого плана побега не обойтись."
Гарри Поттер и Тайная комната,Джоан Кэтлин Ролинг,Детская фантастика,2001,Росмэн-Пресс,"Это вторая книга о приключениях Гарри Поттера. Он снова вступает в отчаянную схватку со злом. На этот раз враг его так силен, что надежды на победу почти нет. В Школе чародейства и волшебства «Хогвартс» происходят тревожные события. Кто-то нападает на учеников школы, и преподаватели подозревают, что это таинственное чудовище, которое скрывается в легендарной Тайной комнате. Гарри Поттер и его друзья разгадывают загадку Тайной комнаты, и теперь Гарри снова предстоит сразиться с лордом Волан-де-Мортом. Сумеет ли он победить на этот раз?"
Хорошие жены,Луиза Мэй Олкотт,Классическая проза,2016,Литагент 2 редакция,"«Хорошие жены» – продолжение всемирно известной повести «Маленькие женщины», которая неизменно входит в списки лучшей детской классики. Четыре сестры выросли, стали взрослыми девушками. Теперь каждой предстоит выбрать жизненный путь, а еще сохранить свою удивительную дружбу."
Страна Оз,Лаймен Фрэнк Баум,Сказка,1992,Юнисам,"Книга рассказывает о новых приключениях Дороти и ее верных друзей — Страшилы, Жестяного Дровосека и Трусливого Льва в стране Оз. На этот раз Дороти и принцесса Озма освобождают королеву страны Эв из заключения в подземном царстве гномов."
Дом соли и печали [litres],Эрин Крейг,Фэнтези,2020,Литагент Клевер-Медиа-Групп,"Когда‑то у герцога Соленых островов было двенадцать дочерей. А теперь осталось восемь. Поговаривают, что семейство Фавмант проклято и тьма забирает дочерей герцога по очереди. Аннали, вторая дочь герцога, знает, что находится в опасности. Встревоженная призрачными видениями, она подозревает, что смерти ее сестер не были случайны. Каждую ночь девушки ускользали на роскошный заколдованный бал. В драгоценных туфельках и одеждах из шелка они кружились в смертельном танце до восхода солнца. Как и ее сестры, Аннали готова поддаться искушению и последовать на праздник с пленительным человеком-драконом. Встречи с ним таят загадку и опасность. Сможет ли дочь Соли устоять перед чарами тьмы?"
Лес секретов,Эрин Хантер,Сказка,2003,Олма-Пресс,"Вместе с весной в лес приходит новая опасность паводок угрожает жизни диких котов, к тому же рыба в отравленной людьми реке стала непригодной для пищи. Огнегрив и Крутобок спасают котят, помогают добыть еду для пострадавшего от наводнения Речного племени. Обстановка в лесу накаляется противостояние между племенами усиливается с каждым днем и неожиданно открываются все новые тайны…"
Солнечный путь,Эрин Хантер,Природа и животные,2016,Просвещение,"Долгие луны клан горных котов мирно жил в суровых горах, возле заснеженных пиков. Но с каждым годом зимние холода становились все суровее, дичь стала покидать горы, а в сердце старой Камнесказительницы поселился страх. Неужели ее клан обречен на гибель? Однажды Камнесказительница получает таинственное видение о теплой благодатной земле, где не переводится дичь, и отряд отважных котов решает отправиться туда, где встает солнце, на поиски нового дома. Их ждет долгий, полный смертельных опасностей, путь. На новых землях пришельцам с гор придется столкнуться с одиночками и свирепыми бродягами, научиться выживать вместе и отстаивать свое право на жизнь. Иначе их новый дом станет местом кровавых столкновений."
Стань диким!,Эрин Хантер,Сказка,2003,Олма-Пресс,"Первая книга серии «Коты-воители» — «Стань диким!» — рассказывает об удивительной и полной приключений жизни домашнего котенка Рыжика, впервые попавшего в лес, где воют между собой четыре клана диких котов. Ему приходится доказывать, что он достоин чести стать воином и принадлежать к Грозовому племени. Скоро лес становится настоящим домом для Рыжика: он храбро сражается за свое племя, находит настоящих друзей и наживает опасных врагов."
Время Темных охотников [litres],Евгений Фронтикович Гаглоев,Фэнтези,2019,Литагент Росмэн,"Туристы любят Клыково – тихий, уютный городок с красивыми старинными домами. Мало кто знает, что у него есть другое лицо – сумрачное и страшное – и любой житель городка и окрестностей может обернуться совсем не тем, кем кажется. Прелестные девушки не отвечают за поведение своего второго «я», милые юноши собирают коллекции, при виде которых от ужаса темнеет в глазах, и даже местные оборотни могут стать жертвой гораздо более жутких существ. Чтобы раскрыть очередное загадочное преступление, друзьям Тимофея придется пробиться сквозь густую чащу загадок без ответов. Самому же Тимофею предстоят новые суровые испытания и тяжелые потери. Как он выдержит удары судьбы?"
Дом у Змеиного озера [litres],Евгений Фронтикович Гаглоев,Фэнтези,2019,Литагент Росмэн,"Нелегко приходится Тимофею после того, как вся академия «Пандемониум» узнала его тайну. Даже близкие друзья опасаются Огненного волка, что уж говорить об остальных! Ученики шарахаются от него и провожают испуганными взглядами. Даже Лиза не готова поддержать Тимофея – она по-прежнему не хочет разговаривать с ним, и потому Зверев ничего не знает о беде, в которую попала его девушка. И ни Лиза, ни Тимофей не догадываются, что их ссора – лишь часть коварного плана Ирины Зверевой. Мстительная девчонка закрутила сложнейшую интригу, но ей не приходит в голову, что она тоже может стать жертвой хитроумного обмана."
Граница миров,Кристель Дабо,Героическая фантастика,2020,Литагент КомпасГид,"«Где-то во Вселенной, словно гигантские дирижабли, парят ковчеги…» С этих слов началась история Офелии. И эти слова долгие годы оставались загадкой. Почему мир ковчегов именно такой? Что означает уникальная способность скромной девушки с Анимы – читать вещи? А главное: возможен ли ещё хоть какой-то покой на Аниме, Полюсе, Вавилоне и других ковчегах?.. Заключительная часть тетралогии «Сквозь зеркала» заставит главную героиню пуститься в расследование столь опасное и сложное, что у Офелии из «Обручённых холодом» не было бы ни единого шанса выжить и узнать всю правду. Да и повзрослевшая Офелия столкнётся с беспринципным и страшным противником, намного превосходящим её по силам. Он известен под прозвищем Другой, а его подлинное имя неизвестно никому… Или почти никому?.. Двадцать один ковчег, зависший в пространстве. Потрясающая магия, уникальная для каждого ковчега. Интриги, скандалы, предательства и преступления. Любовь, которая сильнее смерти. Всё это заставляло нас с нетерпением ждать новых книг Кристель Дабо, и финал истории не разочарует. Даже больше: он раскроет нам ту тайну, о которой мы даже не подозревали. Тетралогия «Сквозь зеркала» французской писательницы Кристeль Дабo (родилась в 1980 году) – это целая альтернативная реальность, замысловатая и непредсказуемая, но продуманная до мельчайших деталей. Мировой тираж этой серии исчисляется миллионами экземпляров, интернет по всему миру заполнен тысячами фан-артов и фанфиков, а трёхцветные шарфы стали обязательным аксессуаром для подлинных поклонников Дабо. Мир, придуманный ею, – такой же феномен, каким стали когда-то «Гарри Поттер» и «Игра престолов», и многочисленные премии это подтверждают."
Бушующая стихия,Эрин Хантер,Сказка,2003,Олма-Пресс,"В лесу стряслась беда. Пожар полыхает на территории котов Грозового племени. Глашатай Огнегрив пытается спасти племя с минимальными потерями. И когда опасность уже позади, на горизонте появляется заклятый враг Коготь…"
Гарри Поттер и узник Азкабана,Джоан Роулинг,Детская фантастика,2007,РОСМЭН,"Двенадцать долгих лет в Азкабане — мрачной тюрьме волшебного мира — содержался всем известный узник по имени Сириус Блэк. Его обвиняли в убийстве тринадцати человек и считали наследником лорда Волан-де-Морта. И вот он бежал, и из оставленных им следов ясно, что на этот раз убийца поставил целью избавиться от Гарри Поттера. Теперь Гарри в опасности, даже за стенами своей волшебной школы, даже в окружении друзей — потому что среди них есть предатель, готовый открыть убийце путь в Хогвартс."
В стране невыученных уроков,Л. Гераскина,Детские приключения,1966,Советская Россия,Повесть о приключениях Виктора Перестукина и его верного кота Кузи в стране невыученных уроков. Издание 1966 г. Иллюстрации В. Чижикова
Настоящие сказки братьев Гримм. Полное собрание,Якоб и Вильгельм Гримм,Проза,2017,Алгоритм,"Меня мачеха убила, Мой отец меня же съел. Моя милая сестричка Мои косточки собрала, Во платочек их связала И под деревцем сложила. Чивик, чивик! Что я за славная птичка! Впервые в России: полное собрание сказок, собранных братьями Гримм в неадаптированном варианте для взрослых! Многие известные сказки в оригинале заканчиваются вовсе не счастливо. Дело в том, что в братья Гримм писали свои произведения для взрослых, поэтому сюжеты неадаптированных версий «Золушки», «Белоснежки» и многих других добрых детских сказок легко могли бы лечь в основу сценария современного фильма ужасов. Сестры Золушки обрезают себе часть ступни, чтобы влезть в хрустальную туфельку, принц из сказки про Рапунцель выкалывает себе ветками глаза, а «добрые» родители Гензеля и Гретель отрубают своим детям руки и ноги. Таких сказок вам еще не доводилось читать… В этом издании впервые публикуются все, включая самые мрачные и пугающие истории оригинального сборника братьев Гримм. Издание дополнено гравюрами и иллюстрациями XIX века."
Сказки о Шише,Борис Викторович Шергин,Сказка,1989,Детская литература,"Сейчас вы прочтёте «Сказки о Шише». Это сказки весёлые, смешные, и рассказаны они языком не совсем обычным. Борис Викторович родился в Архангельске, там он слыхал эти сказки и, пересказывая их нам, употребляет иногда слова для нашего уха непривычные, архангельские. Но понять их не так уж трудно."
Вовка в Тридевятом царстве,Вадим Николаевич Коростылев,Сказка,2005,Мир искателя,"Жил-был мальчик Вовка. И хотелось ему пожить так, чтобы ничего не делать. Вот однажды он попал в Тридевятое царство, где живет Золотая рыбка, которая все желания исполняет, и еще Двое из ларца, и много чудес разных. Да только оказалось, что Золотая рыбка без труда не ловится, а Двое из ларца все путают. И понял Вовка, что лучше всё делать самому, даже книжки читать и мультики смотреть Когда-то, в первом классе, Вовка очень любил читать волшебные сказки, и ему даже удалось побывать в Тридевятом царстве. Повзрослев, Вовка так увлекся дрессировкой своей собаки, что совсем перестал учить уроки. Чтобы Вовка исправился, друзья решили отправить его в космическую экспедицию на планету Ялмез — отражение Земли."
Опасная тропа,Эрин Хантер,Сказка,2003,Олма-Пресс,"Новая страшная опасность пришла в лес, едва успевший оправиться после пожара. Стая свирепых бродячих псов убегает от собаколовов и находит тайное прибежище на территории Грозового племени. Звездные предки посылают пророчество о притаившемся в лесу зле, но никто из Грозовых котов не может правильно истолковать его. Огнегрив спасает свое племя и изгоняет собак, но Синяя Звезда погибает в битве со сворой."
Матушка Готель. История старой ведьмы,Серена Валентино,Героическая фантастика,2020,Эксмо,"Матушка Готель не была Рапунцель настоящей матерью. Она похитила маленькую принцессу у родителей и навсегда заперла в башне, потому что королевские подданные украли ведьмин магический цветок. Именно благодаря ему на свет появилась девочка с волшебными волосами. Но история Готель начинается задолго до рождения Рапунцель. Она начинается тогда, когда старая озлобленная ведьма была юной девушкой, жившей с матерью и обожаемыми сёстрами в Мёртвом лесу. Готель была дочерью величайшей ведьмы – королевы здешних мест. И она должна была унаследовать этот титул, но судьба распорядилась иначе. И теперь единственный шанс всё исправить и вернуть тех, кого Готель потеряла, заключается в последнем волшебном цветке. Вернее, в той, кто невольно получила силу этого цветка. В Рапунцель."
Страна Оз,Лаймен Фрэнк Баум,Сказка,1992,Юнисам,"Книга рассказывает о новых приключениях Дороти и ее верных друзей — Страшилы, Жестяного Дровосека и Трусливого Льва в стране Оз. На этот раз Дороти и принцесса Озма освобождают королеву страны Эв из заключения в подземном царстве гномов."
Лес секретов,Эрин Хантер,Сказка,2003,Олма-Пресс,"Вместе с весной в лес приходит новая опасность паводок угрожает жизни диких котов, к тому же рыба в отравленной людьми реке стала непригодной для пищи. Огнегрив и Крутобок спасают котят, помогают добыть еду для пострадавшего от наводнения Речного племени. Обстановка в лесу накаляется противостояние между племенами усиливается с каждым днем и неожиданно открываются все новые тайны…"
Малыш и Карлсон,Астрид Линдгрен,Сказка,1992,Нюанс,"Дети всего мира знают и любят героев повестей известной шведской писательницы Астрид Линдгрен — обыкновенного мальчика Малыша и его необыкновенного друга Карлсона, который живёт на крыше. И вот новое поколение маленьких читателей знакомится с их забавными приключениями. В книгу включены три повести о Малыше и Карлсоне."
Серёжик (без иллюстраций),Елена Владимировна Ракитина,Сказка,2015,Речь,"Ваш ребёнок любит захватывающие приключения? А если они ещё и волшебные? Тогда эта книга как раз для него! А ещё она о САМОМ ГЛАВНОМ, которого не знал маленький ёжик Серёжик, выращивающий мандариновые семечки и до поры до времени боящийся всего на свете. Он, конечно, станет большим и храбрым, как говорила ему Мама, только произойдёт это очень не скоро. Трудные дороги, опасные встречи под землёй и на небе — Путь, который надо пройти Серёжику с Ключом и шпагой. Это мудрая и очень добрая сказка о мечте, дружбе, верности и ответственности. А также о том, что Ключ открывает все двери, если правильно ответить на один — единственный вопрос: «Что на свете самое главное?» Серёжик уже знает. А вы?"
Стань диким!,Эрин Хантер,Сказка,2003,Олма-Пресс,"Первая книга серии «Коты-воители» — «Стань диким!» — рассказывает об удивительной и полной приключений жизни домашнего котенка Рыжика, впервые попавшего в лес, где воют между собой четыре клана диких котов. Ему приходится доказывать, что он достоин чести стать воином и принадлежать к Грозовому племени. Скоро лес становится настоящим домом для Рыжика: он храбро сражается за свое племя, находит настоящих друзей и наживает опасных врагов."
Забытый Воин,Эрин Хантер,Сказка,2014,ОЛМА Медиа Групп,"Конец звезд совсем близко. Трое должны стать четырьмя ВО ИМЯ решающей битвы с Тьмой.Звездное племя разобщено как никогда, что сеет тревогу и раздоры среди их подопечных - четырех племен лесных котов. Силы Сумрачного леса растут, и с каждым днем Искре все труднее нести бремя своих обязательств.Голубку преследуют кошмары о грядущих несчастьях.В жизнь Грозового племени возвращаются двое соплеменников - из настоящего и прошлого. И это становится для Грозовых котов очередным испытанием.Кроме этого, из небытия и неизвестности возникает еще один знакомый всем племенам персонаж. Кто он - друг или враг? Коты- воители должны решить, кому стоит доверять, а кому - нет."
Главная Надежда,Эрин Хантер,Сказка,2015,ОЛМА Медиа Групп,"Трое должны стать Четырьмя, чтобы сразиться с Тьмой... Ценою неимоверных усилий Воробью удается объединить целителей и сообщить предводителям племен о приближении главной битвы с жестоким воинством Сумрачного леса. Все племена должны действовать как одно. Но одна из главных задач котов с «силой звезд в лапах» — найти Четвертого, без которого может не случиться долгожданной победы..."
Битва за лес,Эрин Хантер,Сказка,2004,Олма-Пресс,"Став предводителем Грозового племени, Огнезвезд отправился к святилищу в Высоких Скалах за даром девяти жизней. Во время таинства он увидел страшное предзнаменование и получил пророчество о приближении кровавых времен…"
Чарли и Шоколадная фабрика,Роальд Даль,Сказка,2001,Бумажная галерея,Знаменитая сказка в переводе Марка Фрейдкина с рисунками Фэйт Жак.
Бушующая стихия,Эрин Хантер,Сказка,2003,Олма-Пресс,"В лесу стряслась беда. Пожар полыхает на территории котов Грозового племени. Глашатай Огнегрив пытается спасти племя с минимальными потерями. И когда опасность уже позади, на горизонте появляется заклятый враг Коготь…"
Асино лето [litres],Тамара Витальевна Михеева,Сказка,2013,Литагент КомпасГид,"Семейка ветров живёт на Летней эстраде. Королевский уж, исполняющий желания, обосновался под крыльцом первого корпуса. А сколько удивительных существ населяют соседний лес! Ася познакомилась с ними сразу: в тот день, когда команда Кольки Огурцова в пух и прах разнесла сборную Наташки Ястровой. Ася, она же Прасковья Шустова, футбол и прочие игры не любит: гномы Севка, Горыныч и Ёж – вот с кем ей по-настоящему интересно! В летнем лагере девочка впервые, и всё ей в новинку: кто тут негласный лидер и почему, как общаться с толпой незнакомых детей, какие тайны хранят старые чердаки. «Светлячок», где когда-то отдыхала ещё Асина бабушка, не скучает никогда: здесь ссорятся и мирятся, влюбляются и расстаются, ходят на дискотеки и рассказывают страшилки. Постепенно и сама героиня подпадает под обаяние места – не без помощи магических лесных существ. Их помощь понадобится ей ещё раз: Коле, с которым Ася так подружилась, срочно потребуется редчайшее лекарство… Повесть Тамары Михеевой за несколько переизданий превратилась в настоящую детскую классику. «Лучик, пробивающий дорогу даже сквозь кромешную тьму», «магический реализм для младших школьников», «светлая книга о волшебстве и сказке в повседневной жизни» – так отзываются об «Асином лете» взрослые читатели. А что же дети? Дети с головой уходят в мир этого произведения – и становятся преданными поклонниками писательницы. Лауреат множества премий в области детской литературы (среди них – конкурс им. С. Михалкова и Национальная премия «Заветная мечта»), Тамара Михеева обладает узнаваемым стилем и богатым языком. Произведения писательницы подталкивают читателя включать воображение и помогают лучше понять себя и других. В издательстве «КомпасГид» вышли также её повести «Дети дельфинов», «Островитяне», «Лёгкие горы», «Янка» и сборник рассказов «Доплыть до грота». Новое издание «Асиного лета» проиллюстрировала Ольга Брезинская – её работы подчеркивают волшебство книги и при этом остаются очень жизненными."
Эмиль из Леннеберги,Астрид Линдгрен,Сказка,1997,Азбука,Неизвестно
Сказка о потерянном времени,Е Шварц,Сказка,1948,Государственное Издательство Детской Литературы Министерства Просвещения РСФСР,Неизвестно
Огонь и лед,Эрин Хантер,Сказка,2003,Олма-Пресс,"Во время войны между кланами Сумрачное племя изгнало котов племени Ветра с их территории, что нарушило равновесие в лесу. Для восстановления справедливости и заведенного порядка Синяя Звезда дает Огнегриву и Крутобоку ответственное и опасное поручение — отыскать и вернуть котов племени Ветра домой. Но дома тоже не все спокойно — на границах племени обнаружены чужие следы, да и наступившую зиму наверняка переживут не все котята."
Путь одарённого. Крысолов. Книга первая. Часть первая [СИ litres],Юрий Николаевич Москаленко,Фэнтези,2020,СИ ЛитРес,Жертва обстоятельств. Потеря памяти от пережитого стресса. Возраст мальца и сплошная вереница беженцев. Выжить… любой ценой выжить. Мир магии. Меча и магии.
Око возрождения,Питер Кэлдер,Эзотерика,2005,София,"В 1994 г. «София» опубликовала «Око возрождения» Питера Кэлдера вместе с «Йога — терапией» Свами Шивананды. Тираж разошелся мгновенно. И в течение двух лет звучали многочисленные просьбы о переиздании именно Питера Кэлдера. Описанные в этой книге 6 простых начальных упражнений для омоложения оказались очень действенными, и книга даже рекомендуется в качестве учебного пособия многими эзотерическими (и не только) школами страны. Так возникла идея этой маленькой книги, доступной практически каждому, от бизнесмена до пенсионера. «Око возрождения» — не только описание секретной в недалеком прошлом практики тибетских лам, приводящей к обращению внутреннего потока времени, развитию личной силы, сохранению и восстановлению здоровья и молодости тела, но в изложении А. Сидерского книга выглядит увлекательным художественным произведением."
